gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6159568041	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/337857978	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.324669	-3.943385	28270.0						2022-05-02T10:45	2	5	2022	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	337857978		Hector Bintanel	2026-02-08T21:03:46	CC_BY_NC_4_0	Hector Bintanel	Hector Bintanel			2026-02-23T22:51:06.530Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6131044246	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/334109376	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.022723	-3.888607	28300.0						2010-04-20T19:11	20	4	2010	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	334109376		Julien Barataud	2026-01-09T17:49:05	CC_BY_NC_4_0	Julien Barataud	Julien Barataud			2026-02-23T22:50:41.508Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6130509166	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/335324654	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Castilla-La Mancha	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.774882	-3.710794	28060.0						2024-01-12	12	1	2024	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	335324654		Syra Zemlia Diaz Rojas	2026-01-19T06:09:47	CC_BY_NC_4_0	Syra Zemlia Diaz Rojas	Syra Zemlia Diaz Rojas			2026-02-23T22:50:50.175Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935792967	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/332269310	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.163324	-6.41137	28447.0						2023-12-09T11:27	9	12	2023	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	332269310		laurentschley	2025-12-27T10:27:40	CC_BY_NC_4_0	laurentschley	laurentschley			2026-02-23T22:50:19.730Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935151696	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/332583364	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.04716	-4.17816	28300.0						2023-12-16T16:55	16	12	2023	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	332583364		Alberto Baños	2025-12-29T12:44:39	CC_BY_NC_4_0	Alberto Baños	Alberto Baños			2026-02-23T22:50:19.860Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5889218175	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/323872512	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.096772	-4.075614	28300.0						2024-12-15T15:25:15	15	12	2024	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	323872512		DACANA	2025-10-29T18:36:01	CC_BY_NC_4_0	DACANA	DACANA			2026-02-24T00:00:32.107Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5827374669	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/307073354	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.272847	-3.85996	28270.0						2019-01-03T00:49	3	1	2019	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	307073354		Clara Casabona	2025-08-17T18:09:16	CC_BY_NC_4_0	Clara Casabona	Clara Casabona			2026-02-23T22:46:03.970Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5759912857	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/308447650	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.133986	-4.192232	28300.0						2022-09-13T13:33:37	13	9	2022	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	308447650		tobalpietroboni	2025-08-23T15:15:37	CC_BY_NC_4_0	tobalpietroboni	tobalpietroboni			2026-02-24T01:03:58.198Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5292542681	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/305024413	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.291924	-3.914936	28270.0						2023-02-17T15:35	17	2	2023	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	305024413		Samuel Aunión Díaz	2025-08-09T18:10:24	CC_BY_NC_4_0	Samuel Aunión Díaz	Samuel Aunión Díaz			2026-02-23T22:45:30.822Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5206413933	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/290842366	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx pardinus		SPECIES	Lynx pardinus (Temminck, 1827)	Lynx pardinus		ES		Castilla-La Mancha	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.679843	-4.013105	28060.0						2024-12-15T16:24:07	15	12	2024	2435261	2435261	HUMAN_OBSERVATION	iNaturalist	Observations	290842366		Tom Greek	2025-06-19T03:33:13	CC_BY_NC_4_0	Tom Greek	Tom Greek			2026-02-23T23:52:41.794Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
